OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
REGLAJES Y AJUSTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRACION Y AJUSTE VALVULAS,,1.5,1.5,1.5,1.5,0.7,0.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.7,0.7,0.7,1.5,1.5,1,1,1,1,1.5,2.5,2.8,2.8,2.5,3,3,1.3,1.3,1,1,1,0.6,0.6,1.5,1.5,1,1.5,0.6,1,1,0.5,0.5,0.6,0.5,0.5,0.8,0.6,,0.6,0.7,,1,1,2,2.5,2.5,2.5,2.2,2.5,0.8,1,1.3,1,0.5,1,1.5,1.5,1.8,2.,2.5,2.5,0.7,0.7,0.7,2.5,3.5,0.7,2.5,2,2.5,2.5,2.5,3,2.5,2.5
CAMBIO DE FILTRO Y ACEITE DE MOTOR,0.3,0.3,,0.3,0.3,0.3,0.3,,,,,0.3,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.3,,,,,0.5,0.3,0.3,0.3,0.3,0.4,1,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
DESCARBONADA MOTOR INCLUIDO MOFLE,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMPIEZA  TANQUE DE GASOLINA,1.5,1.5,1.5,1.5,2.5,1.0,1.0,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1,1.0,1,0.8,0.8,0.8,0.8,0.8,0.8,1.3,1,1.3,1.3,1,1,1.5,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2,2,,1.5,1.5,0.8,0.8,0.8,1,1,1,1,0.8,1.5,1.5,0.8,0.8,1,0.8,1,1.5,1.5,1.5,2.5,1.5,1,1,1.0,1.0,1,3.5,1.0,1,1,1,1.5,1,1.5,1,1
LIMPIEZA.TENSIÓN Y LUBRICACIÓN CADENA ,,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,,,,,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MANTENIMIENTO Y/O CAMBIO BATERÍA (LIMPIEZA. REV. ELECTROLITO),,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,,0.3,0.3,0.3,0.5,0.5,0.5,,,,,,0.3,0.3,,0.3,0.3,0.3,,,,,,0.5,0.3,0.3,0.3,,,0.3,,,,,,,,
AJUSTE DE NIVEL Y /O PURGA DEL SISTEMA DE REFRIGERACIÓN,,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,0.5,0.5,,,,0.5,2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PURGA DEL  SISTEMA DE FRENOS CADA UNO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,1,,,,,,,,,1.5,1.5,,0.8,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,0.5,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1
SINCRONIZADA ( CARB. FILTRO DE AIRE. BUJÍA. CALIBRAR VÁLVULAS),1.5,2,2.0,2,2,1.2,1.2,2.0,2,2,2,2,2.0,2.0,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,1,2.8,3.1,3.1,2.8,3,3.3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,2,2,,2,1.2,1.5,1.5,1.5,2.5,2.5,2.5,2.5,2.2,2.5,1.5,1.5,2,2.5,1,2.5,2,2,2,2,3,2.8,1.2,1.2,1.2,2.5,3.5,1.2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
